827,ALA TANGARA
828,GRAUNAS
829,DOCEMASTE
830,JABIRU
831,SAO GERALDO
832,TRE WALDYR SOEIRO EMRICH X ANEL RODOVIARIO
833,OLENKA DIAS BICALHO
834,JOSE PITANGUI FERRAZ
835,MARQUES DA SILVA
836,MARIO COUTINHO
837,AGULHAS NEGRAS
838,GOVERNADOR ISRAEL PINHEIRO
839,SALOMAO DE VASCONCELOS
840,JOSE DE PATROCINIO PONTES
841,MILTON CAMPOS
842,LUCIANA CATEB
843,BOAVENTURA COSTA
844,ALPES
845,OURO PRETO
846,PARACATU
847,MENOTTI MUCCELLI
848,A
849,MARGINAL
850,GOVERNADOR BENEDICTO VALLADARES
851,CID REBELO HORTA
852,VDT DEPUTADO ULYSSES GUIMARAES
853,VDP TRES MIL NOVECENTOS E NOVENTA E SETE
854,CHRISTINA MARIA ASSIS
855,JOAO BATISTA VIEIRA
856,DAS OSTRAS
857,SENADOR MILTON CAMPOS
858,MARTINS FONTES
859,DOUTOR ZEFERINO MOTA
860,FARIAS BRITO
861,LAFAIETE BRANDAO
862,DONA LALA FERNANDES
863,ALFREDINA AMARAL
864,NOSSA SENHORA APARECIDA
865,AMILCAR CABRAL
866,DONA LUIZA
867,MARINGA
868,EDUARDO CARLOS
869,HERCILIA GOMES
870,GUIA LOBO
871,DAVID FONSECA
872,SERVILIO DE MORO
873,SABINO JOSE FERREIRA
874,SERGIO NAPOLES FONSECA
875,DONA IRACEMA
876,FRANCISCO FALEIRO LOPES
877,ORLANDO NOGUEIRA
878,VIRGINIA DE MATOS
879,ADELIA CARMEN DA SILVA
880,LUIZA PIRRI
881,TEOFILO CASTILHO
882,LICINIO PORTO
883,ARISTIDES FERREIRA DE CASTRO
884,DIRAMIR LOUREIRO
885,RUBIO FERREIRA E SOUZA
886,MINERVA
887,JOSE MARIA DO NASCIMENTO
888,SEBASTIAO PEREIRA DE OLIVEIRA
889,MARIA PETERS
890,JOSE VALERIO MENDES
891,ANA RAFAEL DOS SANTOS
892,DARIO FERREIRA MENDES
893,JOSE PEDRO DE BRITO
894,DOUTOR FRANCISCO SILVEIRA
895,FREDERICO BOY PRUSSIANO
896,PROFESSORA DIRCE MARIA
897,ELAINE CRISTINA DA SILVA
898,DAS AGUAS
899,HERMINIO FERREIRA PINTO
900,VEREADOR ANTONIO MENEZES
901,CHAFARIZ
902,MARIZA AFONSO
903,FLOR DE PITANGUEIRA
904,FIDELCINO COSTA
905,ANA PAULA DE JESUS
